trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.6, 'e': 0.8851483685026271}",20,0,-117.11447715359539,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
61,False,"{'a': 0.6, 'e': 0.8833798408827509}",20,0,-90.80020048212677,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
62,False,"{'a': 0.6, 'e': 0.8816148467834161}",20,0,-84.04429982069884,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
63,False,"{'a': 0.6, 'e': 0.8798533791446438}",35,0,-166.51982792387375,"{0: 25, 1: 1, 2: 5, 3: 1, 4: 3}",0
64,False,"{'a': 0.6, 'e': 0.8780954309205613}",25,0,-62.283701191963544,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
65,False,"{'a': 0.6, 'e': 0.8763409950793732}",20,0,-75.55123848286536,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
66,False,"{'a': 0.6, 'e': 0.874590064603334}",20,0,-200.7960656958052,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 4}",0
67,False,"{'a': 0.6, 'e': 0.8728426324887193}",30,4,-142.2967377727842,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 2}",1
68,False,"{'a': 0.6, 'e': 0.8710986917457983}",20,13,8.631966460611258,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.6, 'e': 0.8693582353988059}",30,0,-84.3724901626317,"{0: 22, 1: 4, 2: 1, 3: 2, 4: 1}",0
70,False,"{'a': 0.6, 'e': 0.867621256485914}",20,0,-42.73146491551458,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
71,False,"{'a': 0.6, 'e': 0.865887748059205}",25,4,-57.40018720264774,"{0: 12, 1: 5, 2: 3, 3: 1, 4: 0}",1
72,False,"{'a': 0.6, 'e': 0.8641577031846428}",30,0,-157.84192484843908,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
73,False,"{'a': 0.6, 'e': 0.8624311149420455}",25,0,-107.04587077562347,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
74,False,"{'a': 0.6, 'e': 0.8607079764250578}",20,5,-5.121844195684553,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.6, 'e': 0.8589882807411234}",25,0,-177.15647065873324,"{0: 14, 1: 3, 2: 3, 3: 3, 4: 2}",0
76,False,"{'a': 0.6, 'e': 0.8572720210114575}",20,0,-37.836578729530906,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
77,False,"{'a': 0.6, 'e': 0.8555591903710185}",20,0,-73.0878532871231,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
78,False,"{'a': 0.6, 'e': 0.8538497819684817}",20,0,-149.1263857755835,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
79,False,"{'a': 0.6, 'e': 0.8521437889662113}",35,0,-97.64726234765206,"{0: 25, 1: 1, 2: 7, 3: 1, 4: 1}",0
80,False,"{'a': 0.6, 'e': 0.850441204540233}",25,0,-84.7030632541161,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
81,False,"{'a': 0.6, 'e': 0.8487420218802068}",30,0,-131.36578565676578,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
82,False,"{'a': 0.6, 'e': 0.8470462341893996}",25,0,-135.64973759068693,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
83,False,"{'a': 0.6, 'e': 0.8453538346846587}",20,0,-204.17727010755775,"{0: 6, 1: 5, 2: 5, 3: 1, 4: 3}",0
84,False,"{'a': 0.6, 'e': 0.8436648165963837}",20,0,-103.1832157866799,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
85,False,"{'a': 0.6, 'e': 0.8419791731684999}",20,0,-74.42826403922876,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
86,False,"{'a': 0.6, 'e': 0.8402968976584314}",20,0,-129.2416223876445,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
87,False,"{'a': 0.6, 'e': 0.838617983337074}",20,0,-71.5890645874799,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
88,False,"{'a': 0.6, 'e': 0.8369424234887681}",25,0,-119.86079379925903,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
89,False,"{'a': 0.6, 'e': 0.835270211411272}",20,0,-130.17451400772708,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
90,False,"{'a': 0.6, 'e': 0.8336013404157353}",20,0,-64.03737290681525,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
91,False,"{'a': 0.6, 'e': 0.8319358038266718}",25,0,-75.51274315429694,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
92,False,"{'a': 0.6, 'e': 0.8302735949819326}",20,0,-161.63658436105624,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
93,False,"{'a': 0.6, 'e': 0.8286147072326806}",25,0,-153.8723588271981,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
94,False,"{'a': 0.6, 'e': 0.8269591339433623}",20,0,-86.23186212828534,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
95,False,"{'a': 0.6, 'e': 0.8253068684916823}",20,0,-64.1603560165849,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
96,False,"{'a': 0.6, 'e': 0.8236579042685769}",20,0,-39.79477470094384,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
97,False,"{'a': 0.6, 'e': 0.8220122346781865}",20,4,-48.47960846932868,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 0}",1
98,False,"{'a': 0.6, 'e': 0.8203698531378311}",25,3,-72.3666582892524,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 1}",1
99,False,"{'a': 0.6, 'e': 0.8187307530779818}",20,2,-26.449018670861815,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
100,False,"{'a': 0.6, 'e': 0.8170949279422366}",20,6,-126.737231923482,"{0: 6, 1: 1, 2: 5, 3: 0, 4: 2}",1
101,False,"{'a': 0.6, 'e': 0.8154623711872927}",25,0,-35.65774182342812,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
